Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Membership,Age,TotalSpent,RelationshipStatus,Children,HouseHoldSize,Parent
Graduate,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,89,56,182,Partner,2,4,1
Graduate,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,310,54,49,Partner,2,4,1
Postgraduate,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,286,58,75,Partner,2,4,1
Postgraduate,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,355,68,227,Partner,2,4,1
Postgraduate,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,596,50,215,Partner,2,4,1
Graduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,73,444,Partner,1,3,1
Undergraduate,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,252,57,47,Partner,2,4,1
Postgraduate,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,440,73,143,Partner,0,2,0
Graduate,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,87,41,55,Partner,1,3,1
Undergraduate,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,72,53,63,Partner,2,4,1
Graduate,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,644,69,1867,Alone,0,1,0
Postgraduate,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,288,63,611,Partner,1,3,1
Graduate,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,43,69,473,Partner,1,3,1
Graduate,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,313,65,55,Partner,0,2,0
Postgraduate,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,625,40,81,Alone,1,2,1
Postgraduate,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,564,49,2086,Partner,0,2,0
Postgraduate,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,231,59,1478,Alone,0,1,0
Graduate,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,150,47,49,Partner,1,3,1
Postgraduate,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,291,52,382,Partner,0,2,0
Postgraduate,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,283,49,69,Partner,1,3,1
Graduate,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,611,55,67,Alone,1,2,1
Postgraduate,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,253,55,30,Partner,2,4,1
Undergraduate,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,390,46,63,Partner,1,3,1
Graduate,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,681,43,79,Partner,1,3,1
Graduate,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,493,63,42,Alone,1,2,1
Graduate,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,667,64,819,Partner,1,3,1
Graduate,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,285,69,1151,Alone,0,1,0
Postgraduate,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,567,76,594,Partner,2,4,1
Postgraduate,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,519,58,129,Partner,2,4,1
Postgraduate,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,547,38,213,Alone,1,2,1
Graduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,51,67,Alone,1,2,1
Graduate,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,475,68,28,Alone,3,4,1
Undergraduate,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,611,49,45,Partner,1,3,1
Graduate,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,53,59,1193,Partner,0,2,0
Postgraduate,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,314,55,268,Alone,0,1,0
Undergraduate,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,565,51,37,Partner,1,3,1
Graduate,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,244,57,37,Partner,3,5,1
Postgraduate,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,597,55,882,Alone,0,1,0
Graduate,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,338,50,373,Partner,2,4,1
Postgraduate,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,419,59,35,Alone,3,4,1
Graduate,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,468,46,42,Alone,2,3,1
Postgraduate,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,681,64,326,Partner,1,3,1
Postgraduate,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,353,63,404,Partner,1,3,1
Graduate,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,350,53,95,Alone,0,1,0
Graduate,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,111,75,939,Alone,0,1,0
Undergraduate,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,183,46,33,Alone,1,2,1
Undergraduate,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,391,69,981,Partner,0,2,0
Graduate,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,525,48,36,Partner,1,3,1
Graduate,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,391,49,1237,Alone,1,2,1
Graduate,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,646,64,1825,Partner,1,3,1
Postgraduate,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,661,47,103,Alone,2,3,1
Graduate,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,558,47,191,Alone,1,2,1
Postgraduate,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,222,54,1586,Partner,1,3,1
Postgraduate,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,16,66,963,Partner,0,2,0
Undergraduate,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,54,889,Partner,1,3,1
Undergraduate,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,134,64,93,Alone,0,1,0
Graduate,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,437,51,1587,Alone,0,1,0
Graduate,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,111,62,16,Alone,3,4,1
Graduate,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,390,72,1375,Alone,0,1,0
Graduate,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,537,62,393,Partner,1,3,1
Postgraduate,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,639,74,1477,Alone,1,2,1
Graduate,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,235,53,1179,Partner,1,3,1
Graduate,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,632,64,1005,Partner,1,3,1
Postgraduate,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,47,76,1348,Partner,0,2,0
Postgraduate,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,546,65,1307,Alone,1,2,1
Graduate,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,418,60,486,Alone,1,2,1
Postgraduate,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,476,77,2252,Partner,0,2,0
Postgraduate,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,315,53,235,Partner,2,4,1
Postgraduate,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,198,54,235,Alone,1,2,1
Postgraduate,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,47,1092,Partner,1,3,1
Graduate,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,286,66,599,Partner,1,3,1
Graduate,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,671,39,48,Partner,1,3,1
Graduate,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,686,50,1174,Partner,1,3,1
Postgraduate,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,77,74,67,Partner,1,3,1
Graduate,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,695,69,365,Alone,1,2,1
Graduate,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,176,71,165,Partner,1,3,1
Undergraduate,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,645,66,210,Partner,0,2,0
Postgraduate,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,302,77,1095,Partner,1,3,1
Postgraduate,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,251,58,223,Alone,3,4,1
Graduate,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,569,61,597,Partner,1,3,1
Graduate,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,227,39,22,Partner,1,3,1
Graduate,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,186,49,1064,Alone,1,2,1
Undergraduate,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,660,44,74,Partner,0,2,0
Postgraduate,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,544,68,26,Partner,0,2,0
Graduate,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,548,65,60,Partner,0,2,0
Postgraduate,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,409,50,20,Partner,1,3,1
Undergraduate,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,277,37,59,Alone,1,2,1
Postgraduate,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,416,56,34,Partner,1,3,1
Undergraduate,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,234,53,198,Partner,2,4,1
Postgraduate,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,335,60,1048,Partner,1,3,1
Postgraduate,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,233,62,574,Alone,2,3,1
Graduate,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,655,54,1029,Alone,1,2,1
Graduate,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,195,44,670,Partner,1,3,1
Postgraduate,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,575,49,990,Alone,1,2,1
Graduate,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,38,50,11,Partner,2,4,1
Postgraduate,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,607,61,1241,Partner,1,3,1
Graduate,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,178,45,576,Alone,0,1,0
Undergraduate,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,378,39,172,Partner,1,3,1
Postgraduate,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,188,44,664,Alone,0,1,0
Graduate,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,254,61,928,Alone,1,2,1
Graduate,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,668,57,2074,Alone,0,1,0
Undergraduate,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,339,42,467,Partner,0,2,0
Graduate,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,248,69,257,Partner,1,3,1
Graduate,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,192,57,1146,Partner,0,2,0
Postgraduate,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,479,48,689,Alone,1,2,1
Postgraduate,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,655,52,2114,Alone,0,1,0
Postgraduate,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,44,35,1346,Partner,0,2,0
Postgraduate,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,272,55,1044,Partner,0,2,0
Postgraduate,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,633,64,493,Alone,1,2,1
Graduate,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,308,54,957,Alone,0,1,0
Postgraduate,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,352,66,270,Partner,1,3,1
Undergraduate,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,239,72,29,Partner,0,2,0
Postgraduate,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,396,75,121,Alone,2,3,1
Postgraduate,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,338,63,126,Partner,2,4,1
Graduate,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,95,29,23,Alone,0,1,0
Postgraduate,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,447,75,57,Alone,2,3,1
Graduate,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,238,63,636,Alone,0,1,0
Graduate,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,81,64,1004,Partner,0,2,0
Graduate,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,285,51,734,Alone,1,2,1
Graduate,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,109,46,614,Partner,2,4,1
Graduate,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,138,46,1453,Alone,1,2,1
Postgraduate,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,61,36,1621,Alone,0,1,0
Postgraduate,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,185,56,187,Alone,1,2,1
Graduate,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,535,38,1443,Partner,1,3,1
Postgraduate,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,2,54,57,Alone,1,2,1
Graduate,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,445,73,637,Alone,1,2,1
Postgraduate,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,220,76,948,Partner,1,3,1
Postgraduate,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,535,53,59,Partner,1,3,1
Graduate,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,352,38,18,Partner,1,3,1
Postgraduate,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,616,59,903,Alone,1,2,1
Graduate,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,494,49,112,Alone,1,2,1
Graduate,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,411,71,596,Partner,0,2,0
Graduate,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,326,42,233,Partner,1,3,1
Postgraduate,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,569,49,1511,Partner,0,2,0
Undergraduate,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,644,64,1152,Alone,0,1,0
Graduate,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,503,46,48,Partner,1,3,1
Graduate,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,455,54,1185,Alone,1,2,1
Graduate,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,92,66,21,Alone,2,3,1
Postgraduate,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,557,59,965,Partner,1,3,1
Graduate,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,423,70,869,Partner,0,2,0
Postgraduate,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,37,40,16,Partner,1,3,1
Graduate,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,501,59,1947,Partner,0,2,0
Graduate,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,697,48,71,Partner,1,3,1
Graduate,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,21,58,65,Partner,1,3,1
Graduate,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,218,69,1380,Partner,0,2,0
Postgraduate,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,155,48,1027,Alone,0,1,0
Postgraduate,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,261,59,411,Partner,3,5,1
Graduate,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,440,33,836,Partner,0,2,0
Postgraduate,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,275,75,11,Alone,2,3,1
Postgraduate,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,691,71,480,Partner,2,4,1
Graduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,46,606,Partner,2,4,1
Postgraduate,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,256,76,284,Alone,3,4,1
Graduate,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,263,51,1472,Alone,2,3,1
Graduate,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,61,75,1677,Partner,0,2,0
Graduate,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,457,51,1335,Partner,1,3,1
Postgraduate,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,26,72,334,Partner,1,3,1
Undergraduate,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,468,35,18,Partner,1,3,1
Graduate,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,689,55,1338,Partner,1,3,1
Postgraduate,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,463,71,1099,Alone,1,2,1
Postgraduate,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,480,68,97,Partner,2,4,1
Postgraduate,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,179,74,63,Alone,3,4,1
Undergraduate,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,332,46,109,Partner,1,3,1
Graduate,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,155,60,902,Partner,0,2,0
Graduate,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,413,72,1574,Partner,0,2,0
Undergraduate,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,202,49,38,Partner,1,3,1
Graduate,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,112,29,960,Alone,0,1,0
Graduate,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,287,54,28,Alone,1,2,1
Undergraduate,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,151,70,1215,Partner,0,2,0
Postgraduate,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,180,52,1497,Partner,0,2,0
Postgraduate,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,269,66,449,Partner,1,3,1
Graduate,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,186,49,1064,Alone,1,2,1
Graduate,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,486,55,1757,Partner,0,2,0
Graduate,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,58,45,1440,Partner,0,2,0
Undergraduate,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,505,46,1006,Partner,0,2,0
Postgraduate,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,687,52,1226,Partner,1,3,1
Graduate,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,283,60,1171,Partner,1,3,1
Postgraduate,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,471,45,92,Partner,1,3,1
Postgraduate,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,84,65,99,Partner,1,3,1
Undergraduate,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,269,43,66,Partner,1,3,1
Graduate,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,66,57,564,Alone,2,3,1
Postgraduate,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,244,36,1427,Partner,0,2,0
Postgraduate,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,415,46,86,Alone,1,2,1
Graduate,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,38,72,833,Alone,0,1,0
Graduate,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,0,428,69,242,Partner,1,3,1
Graduate,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,656,47,1869,Partner,0,2,0
Graduate,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,662,37,1364,Partner,0,2,0
Undergraduate,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,301,59,183,Partner,1,3,1
Postgraduate,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,0,399,68,450,Partner,1,3,1
Graduate,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,361,45,758,Partner,1,3,1
Postgraduate,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,0,199,73,1507,Partner,0,2,0
Graduate,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,0,1,431,59,654,Alone,2,3,1
Graduate,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,0,442,52,81,Partner,2,4,1
Postgraduate,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,0,568,67,137,Partner,1,3,1
Graduate,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,480,71,16,Partner,2,4,1
Postgraduate,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,0,0,0,0,0,0,303,59,93,Alone,1,2,1
Postgraduate,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0,154,66,1158,Partner,0,2,0
Postgraduate,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,0,0,0,0,0,0,193,69,43,Alone,2,3,1
Graduate,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,290,53,1525,Alone,1,2,1
Postgraduate,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,0,85,50,1230,Alone,0,1,0
Graduate,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,0,0,0,0,0,0,76,48,29,Partner,2,4,1
Graduate,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,49,54,25,Alone,1,2,1
Graduate,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,102,52,24,Partner,1,3,1
Graduate,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,0,0,0,0,0,0,376,52,38,Partner,1,3,1
Undergraduate,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,608,38,57,Partner,1,3,1
Postgraduate,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,0,0,0,0,0,0,134,64,47,Partner,2,4,1
Postgraduate,42564.0,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,1,543,56,813,Alone,1,2,1
Postgraduate,43783.0,22,327,9,125,25,4,139,6,7,1,8,7,1,0,0,0,0,0,0,31,46,629,Partner,1,3,1
Graduate,40780.0,30,229,27,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,0,659,48,377,Alone,1,2,1
Postgraduate,62847.0,45,521,168,706,80,76,61,1,3,6,4,2,0,0,0,0,0,0,0,530,79,1612,Partner,0,2,0
Postgraduate,82017.0,58,184,23,446,30,23,23,1,5,4,7,2,0,1,1,1,0,0,1,599,67,729,Partner,0,2,0
Graduate,16813.0,49,4,8,11,12,2,13,1,2,0,3,7,1,0,0,0,0,0,0,345,74,50,Alone,0,1,0
